Title,Offered_by,Domain,Duration,Price,combined_features
Financial Literacy,Wadhwani Foundation,Continuous Learning,6 hours 25 minutes,0.0,Financial Literacy Wadhwani Foundation Continuous Learning 6 hours 25 minutes 0.0
Safety Practices,Wadhwani Foundation,Continuous Learning,2 hours,0.0,Safety Practices Wadhwani Foundation Continuous Learning 2 hours 0.0
Start-up Mindset,Wadhwani Foundation,Creative Problem Solving & Critical Thinking,9 hours,0.0,Start-up Mindset Wadhwani Foundation Creative Problem Solving & Critical Thinking 9 hours 0.0
Problem Solving & Innovation,Wadhwani Foundation,Creative Problem Solving & Critical Thinking,6 hours 45 minutes,0.0,Problem Solving & Innovation Wadhwani Foundation Creative Problem Solving & Critical Thinking 6 hours 45 minutes 0.0
Introduction to Entrepreneurship,Wadhwani Foundation,Creative Problem Solving & Critical Thinking,9 hours,0.0,Introduction to Entrepreneurship Wadhwani Foundation Creative Problem Solving & Critical Thinking 9 hours 0.0
Customer Centricity,Wadhwani Foundation,Continuous Learning,6 hours,0.0,Customer Centricity Wadhwani Foundation Continuous Learning 6 hours 0.0
Professionalism,Wadhwani Foundation,Effective Communication,10 hours 25 minutes,0.0,Professionalism Wadhwani Foundation Effective Communication 10 hours 25 minutes 0.0
Work Productivity Tools,Wadhwani Foundation,Effective Communication,9 hours 3 minutes,0.0,Work Productivity Tools Wadhwani Foundation Effective Communication 9 hours 3 minutes 0.0
Self-Management,Wadhwani Foundation,Effective Communication,8 hours 45 minutes,0.0,Self-Management Wadhwani Foundation Effective Communication 8 hours 45 minutes 0.0
Interpersonal Skills,Wadhwani Foundation,Continuous Learning,11 hours,0.0,Interpersonal Skills Wadhwani Foundation Continuous Learning 11 hours 0.0
Digital Marketing,IACT,"Web, Mobile Development & Marketing",320 hours,21240.0,"Digital Marketing IACT Web, Mobile Development & Marketing 320 hours 21240.0"
Front End Developer,IACT,"Web, Mobile Development & Marketing",320 hours,21240.0,"Front End Developer IACT Web, Mobile Development & Marketing 320 hours 21240.0"
The Machine Learning Pipeline on AWS,CloudThat Technologies,Artificial Intelligence,32 hours,41182.0,The Machine Learning Pipeline on AWS CloudThat Technologies Artificial Intelligence 32 hours 41182.0
Google Cloud Architect Program,Skillup,Cloud Computing,85 hours,64899.0,Google Cloud Architect Program Skillup Cloud Computing 85 hours 64899.0
Mastering the Art of Digital Forensics and Incident Response,SkillsDA,Cybersecurity,45 hours,23600.0,Mastering the Art of Digital Forensics and Incident Response SkillsDA Cybersecurity 45 hours 23600.0
Certified Financial Fraud Investigator,SkillsDA,Cybersecurity,45 hours,11800.0,Certified Financial Fraud Investigator SkillsDA Cybersecurity 45 hours 11800.0
IoT Architecture and Security Threat Management,SkillsDA,Internet Of Things,45 hours,17700.0,IoT Architecture and Security Threat Management SkillsDA Internet Of Things 45 hours 17700.0
Salesforce Administrator Explorer,Salesforce,Cloud Computing,38 hours 25 minutes,0.0,Salesforce Administrator Explorer Salesforce Cloud Computing 38 hours 25 minutes 0.0
Business Analytics Certification Training with Python,Henry Harvin,Artificial Intelligence,32 hours,17700.0,Business Analytics Certification Training with Python Henry Harvin Artificial Intelligence 32 hours 17700.0
AWS Cloud Practitioner Essentials Training (Self-paced),CloudThat Technologies,Cloud Computing,7 hours 10 minutes,0.0,AWS Cloud Practitioner Essentials Training (Self-paced) CloudThat Technologies Cloud Computing 7 hours 10 minutes 0.0
Salesforce Training - Admin and App Builder Certification,Saasguru,Cloud Computing,63 hours,23600.0,Salesforce Training - Admin and App Builder Certification Saasguru Cloud Computing 63 hours 23600.0
Mind Mapping,WhiteBoard Labs,Innovation and Design Thinking,1 hour,0.0,Mind Mapping WhiteBoard Labs Innovation and Design Thinking 1 hour 0.0
Analysing Your Mental Models,WhiteBoard Labs,Influencing and Negotiation,1 hour,0.0,Analysing Your Mental Models WhiteBoard Labs Influencing and Negotiation 1 hour 0.0
Understanding SEO,WhiteBoard Labs,Innovation and Design Thinking,1 hour,0.0,Understanding SEO WhiteBoard Labs Innovation and Design Thinking 1 hour 0.0
Master Course - Women and Leadership,WhiteBoard Labs,Collaboration & Team Work,30 hours,0.0,Master Course - Women and Leadership WhiteBoard Labs Collaboration & Team Work 30 hours 0.0
Creating a Shared Vision,WhiteBoard Labs,Innovation and Design Thinking,1 hour,0.0,Creating a Shared Vision WhiteBoard Labs Innovation and Design Thinking 1 hour 0.0
Problem Solving,WhiteBoard Labs,Innovation and Design Thinking,1 hour,0.0,Problem Solving WhiteBoard Labs Innovation and Design Thinking 1 hour 0.0
Appreciative Feedback,WhiteBoard Labs,Continuous Learning,1 hour,0.0,Appreciative Feedback WhiteBoard Labs Continuous Learning 1 hour 0.0
Force Field Analysis,WhiteBoard Labs,Continuous Learning,1 hour,0.0,Force Field Analysis WhiteBoard Labs Continuous Learning 1 hour 0.0
Fish Bone Analysis,WhiteBoard Labs,Continuous Learning,1 hour,0.0,Fish Bone Analysis WhiteBoard Labs Continuous Learning 1 hour 0.0
Emotional Intelligence: The 6 Sec Model,WhiteBoard Labs,Continuous Learning,1 hour,0.0,Emotional Intelligence: The 6 Sec Model WhiteBoard Labs Continuous Learning 1 hour 0.0
Branding on Social Media,WhiteBoard Labs,Innovation and Design Thinking,1 hour,0.0,Branding on Social Media WhiteBoard Labs Innovation and Design Thinking 1 hour 0.0
Balanced Scorecard,WhiteBoard Labs,Continuous Learning,1 hour,0.0,Balanced Scorecard WhiteBoard Labs Continuous Learning 1 hour 0.0
Elevator Pitch,WhiteBoard Labs,Effective Communication,1 hour,0.0,Elevator Pitch WhiteBoard Labs Effective Communication 1 hour 0.0
Achieving Personal Mastery,WhiteBoard Labs,Effective Communication,1 hour,0.0,Achieving Personal Mastery WhiteBoard Labs Effective Communication 1 hour 0.0
Analysing Change,WhiteBoard Labs,Continuous Learning,1 hour,0.0,Analysing Change WhiteBoard Labs Continuous Learning 1 hour 0.0
Self Presentation,Wadhwani Foundation,Effective Communication,7 hours,0.0,Self Presentation Wadhwani Foundation Effective Communication 7 hours 0.0
Impactful Writing Skills,Wadhwani Foundation,Effective Communication,7 hours,0.0,Impactful Writing Skills Wadhwani Foundation Effective Communication 7 hours 0.0
Application Security - Monitoring and Mitigation,SkillsDA,Cybersecurity,51 hours,5900.0,Application Security - Monitoring and Mitigation SkillsDA Cybersecurity 51 hours 5900.0
InfoSec Management,SkillsDA,Cybersecurity,52 hours,5900.0,InfoSec Management SkillsDA Cybersecurity 52 hours 5900.0
Application Security - Vulnerability Assessments,SkillsDA,Cybersecurity,51 hours 30 minutes,5900.0,Application Security - Vulnerability Assessments SkillsDA Cybersecurity 51 hours 30 minutes 5900.0
Application Security - Hardening and Deployment Configuration,SkillsDA,Cybersecurity,49 hours 30 minutes,5900.0,Application Security - Hardening and Deployment Configuration SkillsDA Cybersecurity 49 hours 30 minutes 5900.0
Advanced 3D Printing and CAD Modeling,CURIOSITY 3D,3D Printing & Modeling,60 hours,21240.0,Advanced 3D Printing and CAD Modeling CURIOSITY 3D 3D Printing & Modeling 60 hours 21240.0
Design Thinking,WhiteBoard Labs,Innovation and Design Thinking,60 hours,6490.0,Design Thinking WhiteBoard Labs Innovation and Design Thinking 60 hours 6490.0
Advanced Project Management,WhiteBoard Labs,Project Management,135 hours,5900.0,Advanced Project Management WhiteBoard Labs Project Management 135 hours 5900.0
Continuous Learning,WhiteBoard Labs,Continuous Learning,2 hours,236.0,Continuous Learning WhiteBoard Labs Continuous Learning 2 hours 236.0
Digital Transformation,WhiteBoard Labs,Influencing and Negotiation,56 hours,11800.0,Digital Transformation WhiteBoard Labs Influencing and Negotiation 56 hours 11800.0
MS Power BI,WhiteBoard Labs,Big Data Analytics,8 hours,2360.0,MS Power BI WhiteBoard Labs Big Data Analytics 8 hours 2360.0
Business Process Management,WhiteBoard Labs,Continuous Learning,40 hours,1121.0,Business Process Management WhiteBoard Labs Continuous Learning 40 hours 1121.0
Creative Thinking and Innovation,WhiteBoard Labs,Innovation and Design Thinking,40 hours,1770.0,Creative Thinking and Innovation WhiteBoard Labs Innovation and Design Thinking 40 hours 1770.0
Working Smarter with Tech,WhiteBoard Labs,Continuous Learning,25 hours,767.0,Working Smarter with Tech WhiteBoard Labs Continuous Learning 25 hours 767.0
Successfully Managing Change,WhiteBoard Labs,Creative Problem Solving & Critical Thinking,20 hours,1121.0,Successfully Managing Change WhiteBoard Labs Creative Problem Solving & Critical Thinking 20 hours 1121.0
Accurate Internet Research,WhiteBoard Labs,Innovation and Design Thinking,20 hours,590.0,Accurate Internet Research WhiteBoard Labs Innovation and Design Thinking 20 hours 590.0
"Influencing, Negotiation and Persuasion",WhiteBoard Labs,Influencing and Negotiation,48 hours,2950.0,"Influencing, Negotiation and Persuasion WhiteBoard Labs Influencing and Negotiation 48 hours 2950.0"
Collaboration and Teamwork,WhiteBoard Labs,Collaboration & Team Work,10 hours,590.0,Collaboration and Teamwork WhiteBoard Labs Collaboration & Team Work 10 hours 590.0
Effective Communication,WhiteBoard Labs,Effective Communication,16 hours,885.0,Effective Communication WhiteBoard Labs Effective Communication 16 hours 885.0
Problem Solving and Decision Making,WhiteBoard Labs,Creative Problem Solving & Critical Thinking,56 hours,2950.0,Problem Solving and Decision Making WhiteBoard Labs Creative Problem Solving & Critical Thinking 56 hours 2950.0
Critical Thinking,WhiteBoard Labs,Continuous Learning,16 hours,4130.0,Critical Thinking WhiteBoard Labs Continuous Learning 16 hours 4130.0
Social Media Marketing,WhiteBoard Labs,"Web, Mobile Development & Marketing",25 hours,1770.0,"Social Media Marketing WhiteBoard Labs Web, Mobile Development & Marketing 25 hours 1770.0"
Project Planning,WhiteBoard Labs,Project Management,8 hours,590.0,Project Planning WhiteBoard Labs Project Management 8 hours 590.0
Google Ad Words,WhiteBoard Labs,"Web, Mobile Development & Marketing",20 hours,1121.0,"Google Ad Words WhiteBoard Labs Web, Mobile Development & Marketing 20 hours 1121.0"
Six Sigma Dojo,WhiteBoard Labs,Project Management,20 hours,885.0,Six Sigma Dojo WhiteBoard Labs Project Management 20 hours 885.0
"SANS Foundations: Computers, Technology, & Security",Sans Institute,Cybersecurity,120 hours,23600.0,"SANS Foundations: Computers, Technology, & Security Sans Institute Cybersecurity 120 hours 23600.0"
AIOps & Multi-Cloud Engineering,CloudAge Global Services,Artificial Intelligence,144 hours,49560.0,AIOps & Multi-Cloud Engineering CloudAge Global Services Artificial Intelligence 144 hours 49560.0
MuleSoft - Anypoint Platform Development Fundamentals,Salesforce,Cloud Computing,48 hours 10 minutes,0.0,MuleSoft - Anypoint Platform Development Fundamentals Salesforce Cloud Computing 48 hours 10 minutes 0.0
Certification Program in Cybersecurity & Forensics,FACEIN TECHNOLOGIES,Cybersecurity,100 hours,19588.0,Certification Program in Cybersecurity & Forensics FACEIN TECHNOLOGIES Cybersecurity 100 hours 19588.0
Artificial Intelligence: Bootcamp and Certification Program,Tequed Labs,Artificial Intelligence,30 hours,8260.0,Artificial Intelligence: Bootcamp and Certification Program Tequed Labs Artificial Intelligence 30 hours 8260.0
DevOps Certified Professional,QUANTUM LEARNINGS,Artificial Intelligence,50 hours,29500.0,DevOps Certified Professional QUANTUM LEARNINGS Artificial Intelligence 50 hours 29500.0
AWS Cloud Practitioner Program,QUANTUM LEARNINGS,Cloud Computing,50 hours,29500.0,AWS Cloud Practitioner Program QUANTUM LEARNINGS Cloud Computing 50 hours 29500.0
Cyber Security and Ethical Hacking Certified Expert,QUANTUM LEARNINGS,Cybersecurity,50 hours,29500.0,Cyber Security and Ethical Hacking Certified Expert QUANTUM LEARNINGS Cybersecurity 50 hours 29500.0
Cyber Crime Intervention Officer,ISAC,Cybersecurity,26 hours,5900.0,Cyber Crime Intervention Officer ISAC Cybersecurity 26 hours 5900.0
Certificate in Real Time 3D,Scopik Edutech,Augmented Reality & Virtual Reality,150 hours,41300.0,Certificate in Real Time 3D Scopik Edutech Augmented Reality & Virtual Reality 150 hours 41300.0
Java Programming,Naresh I Technologies,"Web, Mobile Development & Marketing",90 hours,4000.0,"Java Programming Naresh I Technologies Web, Mobile Development & Marketing 90 hours 4000.0"
Certified Digital Marketer,STEP,"Web, Mobile Development & Marketing",240 hours,47200.0,"Certified Digital Marketer STEP Web, Mobile Development & Marketing 240 hours 47200.0"
CERTIFIED FULL STACK DEVELOPER,STEP,"Web, Mobile Development & Marketing",200 hours,47200.0,"CERTIFIED FULL STACK DEVELOPER STEP Web, Mobile Development & Marketing 200 hours 47200.0"
Fundamentals of JAVA Full Stack Program,Q Academy,"Web, Mobile Development & Marketing",120 hours,7079.0,"Fundamentals of JAVA Full Stack Program Q Academy Web, Mobile Development & Marketing 120 hours 7079.0"
Fundamentals of Additive Manufacturing Using 3D Printing,CADD Livewire,3D Printing & Modeling,40 hours,11682.0,Fundamentals of Additive Manufacturing Using 3D Printing CADD Livewire 3D Printing & Modeling 40 hours 11682.0
Course on Python,CADD Livewire,"Web, Mobile Development & Marketing",60 hours,17936.0,"Course on Python CADD Livewire Web, Mobile Development & Marketing 60 hours 17936.0"
ServiceNow System Administrator,Service Now,Cloud Computing,24 hours 34 minutes,0.0,ServiceNow System Administrator Service Now Cloud Computing 24 hours 34 minutes 0.0
Certification Program in Applied Artificial Intelligence,Q Academy,Artificial Intelligence,270 hours,23599.0,Certification Program in Applied Artificial Intelligence Q Academy Artificial Intelligence 270 hours 23599.0
Certification Program in Artificial Intelligence Fundamental,Q Academy,Artificial Intelligence,60 hours,5899.0,Certification Program in Artificial Intelligence Fundamental Q Academy Artificial Intelligence 60 hours 5899.0
Program on AI Based Tools for Teaching + Application of ChatGPT in education,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Program on AI Based Tools for Teaching + Application of ChatGPT in education QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Program in AI Based Digital Tools for Mass Communications,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Program in AI Based Digital Tools for Mass Communications QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Certificate Program in Digital and Social Media Marketing using ChatGPT and AI Tools,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Certificate Program in Digital and Social Media Marketing using ChatGPT and AI Tools QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Program in Banking and Finance using AI tools,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Program in Banking and Finance using AI tools QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Program in Fine Arts using AI Tools,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Program in Fine Arts using AI Tools QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Financial Modelling using Spreadsheets and ChatGPT,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Financial Modelling using Spreadsheets and ChatGPT QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Program in Cyber Security using ChatGPT,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Program in Cyber Security using ChatGPT QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
MS Excel using ChatGPT,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,MS Excel using ChatGPT QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Program in Insurance Domain using AI tools,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Program in Insurance Domain using AI tools QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Financial Accounting using Excel and ChatGPT Tools,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Financial Accounting using Excel and ChatGPT Tools QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Program in Design using AI tools,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,Program in Design using AI tools QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
ChatGPT Expert,QUANTUM LEARNINGS,Artificial Intelligence,7 hours,1770.0,ChatGPT Expert QUANTUM LEARNINGS Artificial Intelligence 7 hours 1770.0
Complete Guide to NLP ChatGPT,CADD Livewire,Artificial Intelligence,44 hours,18762.0,Complete Guide to NLP ChatGPT CADD Livewire Artificial Intelligence 44 hours 18762.0
Software Programmer - Python,NASSCOM,"Web, Mobile Development & Marketing",330 hours,0.0,"Software Programmer - Python NASSCOM Web, Mobile Development & Marketing 330 hours 0.0"
Software Programmer - HTML5,NASSCOM,"Web, Mobile Development & Marketing",330 hours,0.0,"Software Programmer - HTML5 NASSCOM Web, Mobile Development & Marketing 330 hours 0.0"
Software Programmer - Java,NASSCOM,"Web, Mobile Development & Marketing",330 hours,0.0,"Software Programmer - Java NASSCOM Web, Mobile Development & Marketing 330 hours 0.0"
Certified Network Defender (CND),EC-Council,Cybersecurity,40 hours,51919.0,Certified Network Defender (CND) EC-Council Cybersecurity 40 hours 51919.0
Certified Ethical Hacker (CEH),EC-Council,Cybersecurity,40 hours,61359.0,Certified Ethical Hacker (CEH) EC-Council Cybersecurity 40 hours 61359.0
Computer Hacking Forensic Investigator (CHFI),EC-Council,Cybersecurity,40 hours,51919.0,Computer Hacking Forensic Investigator (CHFI) EC-Council Cybersecurity 40 hours 51919.0
Information Security Devices (SKO 0903),Skillup,Cybersecurity,5 hours,4719.0,Information Security Devices (SKO 0903) Skillup Cybersecurity 5 hours 4719.0
Information Security Audits,Skillup,Cybersecurity,5 hours,4719.0,Information Security Audits Skillup Cybersecurity 5 hours 4719.0
Security Incident Response (SKO 0902),Skillup,Cybersecurity,5 hours,4719.0,Security Incident Response (SKO 0902) Skillup Cybersecurity 5 hours 4719.0
Managing Information Security (SKO 0901),Skillup,Cybersecurity,10 hours,4719.0,Managing Information Security (SKO 0901) Skillup Cybersecurity 10 hours 4719.0
"SC-900: Microsoft Security, Compliance, and Identity Fundamentals",Skillup,Cloud Computing,50 hours,13570.0,"SC-900: Microsoft Security, Compliance, and Identity Fundamentals Skillup Cloud Computing 50 hours 13570.0"
Data Science Methodology,Skillup,Artificial Intelligence,10 hours,8731.0,Data Science Methodology Skillup Artificial Intelligence 10 hours 8731.0
Data Analysis with Python,Skillup,Artificial Intelligence,9 hours,8731.0,Data Analysis with Python Skillup Artificial Intelligence 9 hours 8731.0
AZ-204: Developing Solutions for Microsoft Azure,Skillup,Cloud Computing,88 hours,20060.0,AZ-204: Developing Solutions for Microsoft Azure Skillup Cloud Computing 88 hours 20060.0
Foundations of Cybersecurity Program (FOUNDSCSP100),Skillup,Cybersecurity,45 hours,11799.0,Foundations of Cybersecurity Program (FOUNDSCSP100) Skillup Cybersecurity 45 hours 11799.0
Using R with Databases (RP0103EN),Skillup,Artificial Intelligence,10 hours,8731.0,Using R with Databases (RP0103EN) Skillup Artificial Intelligence 10 hours 8731.0
AZ-104: Microsoft Azure Administrator,Skillup,Cloud Computing,80 hours,17700.0,AZ-104: Microsoft Azure Administrator Skillup Cloud Computing 80 hours 17700.0
AZ-900: Microsoft Azure Fundamentals (1 Day),Skillup,Cloud Computing,56 hours,12980.0,AZ-900: Microsoft Azure Fundamentals (1 Day) Skillup Cloud Computing 56 hours 12980.0
Artificial Intelligence Foundations,Skillup,Artificial Intelligence,40 hours,10113.0,Artificial Intelligence Foundations Skillup Artificial Intelligence 40 hours 10113.0
Foundations of Internet of Things (IoT) (FOUNDSIOTP100),Skillup,Internet Of Things,44 hours,11799.0,Foundations of Internet of Things (IoT) (FOUNDSIOTP100) Skillup Internet Of Things 44 hours 11799.0
Preparing for Information Security Audits,Skillup,Cybersecurity,15 hours,4719.0,Preparing for Information Security Audits Skillup Cybersecurity 15 hours 4719.0
IoT Foundation Course SFI201,SkillsDA,Internet Of Things,45 hours,11800.0,IoT Foundation Course SFI201 SkillsDA Internet Of Things 45 hours 11800.0
FOUNDATIONAL COURSE IN CYBER SECURITY (SFC101),SkillsDA,Cybersecurity,45 hours,10620.0,FOUNDATIONAL COURSE IN CYBER SECURITY (SFC101) SkillsDA Cybersecurity 45 hours 10620.0
Certificate Course on Data Science,360DigiTMG,Artificial Intelligence,184 hours,64900.0,Certificate Course on Data Science 360DigiTMG Artificial Intelligence 184 hours 64900.0
IT Automation Engineer,Red Hat,Cloud Computing,96 hours,60180.0,IT Automation Engineer Red Hat Cloud Computing 96 hours 60180.0
Enterprise Application Developer,Red Hat,Cloud Computing,96 hours,32096.0,Enterprise Application Developer Red Hat Cloud Computing 96 hours 32096.0
Linux Desktop Support Engineer,Red Hat,Cloud Computing,64 hours,40120.0,Linux Desktop Support Engineer Red Hat Cloud Computing 64 hours 40120.0
Linux System Administrator,Red Hat,Cloud Computing,64 hours,40120.0,Linux System Administrator Red Hat Cloud Computing 64 hours 40120.0
Cloud Support Engineer,Red Hat,Cloud Computing,64 hours,14042.0,Cloud Support Engineer Red Hat Cloud Computing 64 hours 14042.0
Software Container Specialist,Red Hat,Cloud Computing,64 hours,16402.0,Software Container Specialist Red Hat Cloud Computing 64 hours 16402.0
Data Structures & Algorithms,Accenture,Artificial Intelligence,10 hours,0.0,Data Structures & Algorithms Accenture Artificial Intelligence 10 hours 0.0
Expert Java,Mouktik,"Web, Mobile Development & Marketing",120 hours,16000.0,"Expert Java Mouktik Web, Mobile Development & Marketing 120 hours 16000.0"
Probability and Statistics,Accenture,Artificial Intelligence,30 hours,0.0,Probability and Statistics Accenture Artificial Intelligence 30 hours 0.0
Exploratory Data Analysis,Accenture,Artificial Intelligence,5 hours,0.0,Exploratory Data Analysis Accenture Artificial Intelligence 5 hours 0.0
Data Processing and Visualisation,Accenture,Digital Learning --- Course and Pathways,15 hours,0.0,Data Processing and Visualisation Accenture Digital Learning --- Course and Pathways 15 hours 0.0
Introduction to Blender and Unity Tools,Centurion University of Technology and Management,3D Printing & Modeling,50 hours,17700.0,Introduction to Blender and Unity Tools Centurion University of Technology and Management 3D Printing & Modeling 50 hours 17700.0
Internet of Things,Centurion University of Technology and Management,Internet Of Things,50 hours,17700.0,Internet of Things Centurion University of Technology and Management Internet Of Things 50 hours 17700.0
3D Modelling and Printing,Centurion University of Technology and Management,3D Printing & Modeling,50 hours,17700.0,3D Modelling and Printing Centurion University of Technology and Management 3D Printing & Modeling 50 hours 17700.0
Augmented Reality Application Development (ARAD),VRx Academy,Augmented Reality & Virtual Reality,66 hours,29500.0,Augmented Reality Application Development (ARAD) VRx Academy Augmented Reality & Virtual Reality 66 hours 29500.0
Certificate in Augmented Reality and Virtual Reality,Scopik Edutech,Augmented Reality & Virtual Reality,150 hours,41300.0,Certificate in Augmented Reality and Virtual Reality Scopik Edutech Augmented Reality & Virtual Reality 150 hours 41300.0
Cloud and DevOps Hybrid Training Program,Edureka,Cloud Computing,45 hours,35400.0,Cloud and DevOps Hybrid Training Program Edureka Cloud Computing 45 hours 35400.0
Node.js Certification Training Course,Edureka,"Web, Mobile Development & Marketing",30 hours,20054.0,"Node.js Certification Training Course Edureka Web, Mobile Development & Marketing 30 hours 20054.0"
Full Stack Web Development Hybrid Training Program,Edureka,"Web, Mobile Development & Marketing",45 hours,35400.0,"Full Stack Web Development Hybrid Training Program Edureka Web, Mobile Development & Marketing 45 hours 35400.0"
Data Science Hybrid Training Program,Edureka,Artificial Intelligence,45 hours,35400.0,Data Science Hybrid Training Program Edureka Artificial Intelligence 45 hours 35400.0
Data Science with Python Certification Course,Edureka,Artificial Intelligence,42 hours,25954.0,Data Science with Python Certification Course Edureka Artificial Intelligence 42 hours 25954.0
Blockchain Introductory Program,Indian Blockchain Institute ,Blockchain,6 hours,2478.0,Blockchain Introductory Program Indian Blockchain Institute  Blockchain 6 hours 2478.0
Deep Dive into Decentralized Finance (DeFi),Indian Blockchain Institute ,Blockchain,120 hours,44840.0,Deep Dive into Decentralized Finance (DeFi) Indian Blockchain Institute  Blockchain 120 hours 44840.0
Advance IoT Training & Certification,Technologics Global,Internet Of Things,80 hours,18880.0,Advance IoT Training & Certification Technologics Global Internet Of Things 80 hours 18880.0
Course on Robotic Process Automation (RPA),CADD Livewire,Robotic Process Automation,40 hours,17582.0,Course on Robotic Process Automation (RPA) CADD Livewire Robotic Process Automation 40 hours 17582.0
Course on Blockchain,CADD Livewire,Blockchain,48 hours,27376.0,Course on Blockchain CADD Livewire Blockchain 48 hours 27376.0
Course on Internet of Things,CADD Livewire,Internet Of Things,48 hours,27966.0,Course on Internet of Things CADD Livewire Internet Of Things 48 hours 27966.0
ISAC Certified Forensic Investigator,ISAC,Cybersecurity,68 hours,70799.0,ISAC Certified Forensic Investigator ISAC Cybersecurity 68 hours 70799.0
ISAC Certified Basics of Information Security,ISAC,Cybersecurity,62 hours,34220.0,ISAC Certified Basics of Information Security ISAC Cybersecurity 62 hours 34220.0
ISAC Certified Penetration Tester,ISAC,Cybersecurity,76 hours,70799.0,ISAC Certified Penetration Tester ISAC Cybersecurity 76 hours 70799.0
Data science and Analytics,QUANTUM LEARNINGS,Artificial Intelligence,100 hours,21240.0,Data science and Analytics QUANTUM LEARNINGS Artificial Intelligence 100 hours 21240.0
"Artificial Int, ML & Data Analytics",QUANTUM LEARNINGS,Artificial Intelligence,180 hours,21240.0,"Artificial Int, ML & Data Analytics QUANTUM LEARNINGS Artificial Intelligence 180 hours 21240.0"
DevOps Certification Course,Naresh I Technologies,Artificial Intelligence,90 hours,23600.0,DevOps Certification Course Naresh I Technologies Artificial Intelligence 90 hours 23600.0
Full Stack Web Development,Innomatics,"Web, Mobile Development & Marketing",350 hours,82600.0,"Full Stack Web Development Innomatics Web, Mobile Development & Marketing 350 hours 82600.0"
Advanced Data Science with Python,Innomatics,Artificial Intelligence,530 hours,106200.0,Advanced Data Science with Python Innomatics Artificial Intelligence 530 hours 106200.0
Information Systems Security and Cloud Security Professional,Q Academy,Cybersecurity,80 hours,47200.0,Information Systems Security and Cloud Security Professional Q Academy Cybersecurity 80 hours 47200.0
Introduction to Cyber Security CompTIA Security+ and Certified Ethical Hacker,Q Academy,Cybersecurity,90 hours,53100.0,Introduction to Cyber Security CompTIA Security+ and Certified Ethical Hacker Q Academy Cybersecurity 90 hours 53100.0
Python Fundamental and programming,IACT,Artificial Intelligence,370 hours,13995.0,Python Fundamental and programming IACT Artificial Intelligence 370 hours 13995.0
Data science and machine learning,IACT,Artificial Intelligence,410 hours,13995.0,Data science and machine learning IACT Artificial Intelligence 410 hours 13995.0
Python Programming for Artificial Intelligence,SeventhSense,Artificial Intelligence,23 hours,23600.0,Python Programming for Artificial Intelligence SeventhSense Artificial Intelligence 23 hours 23600.0
"Professional Full Stack Web Development : HTML, CSS, JS, ReactJS",LearnQoch,"Web, Mobile Development & Marketing",400 hours,29500.0,"Professional Full Stack Web Development : HTML, CSS, JS, ReactJS LearnQoch Web, Mobile Development & Marketing 400 hours 29500.0"
Data Analytics with Microsoft Power BI,Lagozon,Artificial Intelligence,35 hours,14159.0,Data Analytics with Microsoft Power BI Lagozon Artificial Intelligence 35 hours 14159.0
Data Analytics with Qlik Sense,Lagozon,Artificial Intelligence,35 hours,14159.0,Data Analytics with Qlik Sense Lagozon Artificial Intelligence 35 hours 14159.0
Data Analytics using Tableau,Lagozon,Artificial Intelligence,35 hours,14159.0,Data Analytics using Tableau Lagozon Artificial Intelligence 35 hours 14159.0
Data Science using Python,Lagozon,Artificial Intelligence,35 hours,16519.0,Data Science using Python Lagozon Artificial Intelligence 35 hours 16519.0
Data Science through Python,Mouktik,Artificial Intelligence,200 hours,18290.0,Data Science through Python Mouktik Artificial Intelligence 200 hours 18290.0
Machine Learning through Python,Mouktik,Artificial Intelligence,200 hours,18290.0,Machine Learning through Python Mouktik Artificial Intelligence 200 hours 18290.0
Machine Learning - Foundation,Mouktik,Artificial Intelligence,60 hours,9440.0,Machine Learning - Foundation Mouktik Artificial Intelligence 60 hours 9440.0
